ID_CLIENT;BALANCE;NB_PRODUITS;CARTE_CREDIT;SALAIRE;SCORE_CREDIT;CHURN
15673578;128486.91;2;Yes;10109.47;611.0;No
15592389;134603.88;1;Yes;71725.73;684.0;No
15757541;151772.63;2;No;180249.94;778.0;Yes
15785576;119496.87;1;Yes;125848.88;434.0;No
15770225;0.0;2;Yes;65816.53;493.0;No
15759133;0.0;2;Yes;27308.58;616.0;No
15626212;0.0;1;Yes;166984.44;616.0;No
15608804;133231.48;1;Yes;67885.37;824.0;No
15682728;0.0;2;No;114899.13;774.0;No
15690546;0.0;4;No;111097.39;;Yes
15808023;133681.78;1;Yes;153747.73;836.0;No
15576824;111760.4;3;Yes;104722.47;;Yes
15636736;0.0;2;No;156495.39;611.0;Yes
15792102;137781.65;1;No;199316.19;774.0;No
15621353;0.0;2;Yes;13589.93;645.0;No
15780056;0.0;1;Yes;29664.45;660.0;No
15743871;0.0;2;Yes;25843.7;567.0;Yes
15762418;121681.82;1;Yes;128643.35;750.0;Yes
15808389;0.0;1;Yes;160589.18;617.0;No
15618437;0.0;2;No;161571.79;567.0;No
15730810;100524.69;1;Yes;47298.95;613.0;No
15633729;112751.13;1;Yes;28332.0;488.0;No
15603082;0.0;2;No;61961.57;701.0;No
15667215;0.0;2;Yes;58803.28;678.0;No
15731555;106000.12;1;No;191448.96;595.0;Yes
15728912;92436.86;1;Yes;126033.9;554.0;No
15662063;142400.77;1;Yes;193438.69;746.0;No
15720671;129735.3;2;Yes;179565.57;704.0;No
15592999;115465.98;1;Yes;60622.61;691.0;No
15761717;51962.91;2;Yes;45507.24;720.0;No
15774738;107764.75;1;Yes;185667.72;632.0;No
15585198;94267.9;1;No;152821.12;715.0;Yes
15694160;0.0;14;No;;;No
15641004;150315.92;1;No;133486.36;605.0;No
15716276;111669.68;1;Yes;57029.66;709.0;No
15591985;70754.18;1;Yes;92920.04;708.0;Yes
15644200;0.0;1;Yes;16500.66;807.0;Yes
15738018;0.0;2;No;72849.29;571.0;No
15603925;174318.13;2;No;38296.21;779.0;No
15770375;123126.29;1;Yes;74425.41;;No
15573112;103907.28;13;Yes;;;No
15790355;190479.48;2;No;179351.89;606.0;No
15728012;128398.38;1;Yes;168658.3;678.0;No
15576714;0.0;2;Yes;154767.34;687.0;No
15748123;0.0;2;Yes;149613.77;;No
15607395;112528.65;2;Yes;177362.45;679.0;No
15756871;0.0;1;Yes;134878.19;512.0;No
15813645;53369.13;1;Yes;103934.12;491.0;No
15746012;0.0;2;Yes;31165.06;729.0;Yes
15680736;124978.19;2;Yes;7144.46;597.0;No
15729454;0.0;2;Yes;177668.55;465.0;No
15595937;138992.48;2;No;122373.42;430.0;No
15715877;0.0;2;Yes;46072.52;821.0;No
15571869;112650.89;1;No;166386.22;669.0;Yes
15648032;0.0;2;No;187816.59;588.0;No
15778005;130147.98;1;Yes;163798.41;785.0;Yes
15609083;0.0;1;Yes;100200.4;544.0;Yes
15606435;187013.13;2;No;105898.69;593.0;No
15724536;0.0;2;Yes;120880.72;560.0;No
15762134;119152.1;2;Yes;170679.74;506.0;No
15644280;138825.19;1;No;10828.78;593.0;No
15569571;87361.02;2;Yes;120376.87;584.0;Yes
15736601;144428.87;1;Yes;134132.65;716.0;No
15801436;0.0;1;No;126353.13;696.0;Yes
15800268;118050.79;1;No;52301.15;825.0;No
15624347;0.0;2;Yes;147715.83;651.0;No
15804853;57098.96;1;Yes;85644.06;781.0;Yes
15776558;108345.22;1;No;38802.03;673.0;No
15647838;116574.84;1;Yes;4121.04;648.0;Yes
15654409;67816.72;1;Yes;29641.58;665.0;No
15688689;149000.91;2;Yes;21472.42;678.0;No
15802593;0.0;3;No;87822.14;504.0;Yes
15709604;107433.48;1;Yes;173843.21;;No
15635364;44301.43;3;Yes;89729.3;618.0;Yes
15658148;0.0;2;Yes;185827.74;657.0;No
15603851;127785.17;4;No;184464.7;704.0;Yes
15661670;107818.63;1;Yes;199725.39;524.0;Yes
15762091;139129.92;1;Yes;63747.51;631.0;No
15632575;0.0;1;Yes;122996.76;559.0;No
15574584;126679.69;1;Yes;39451.09;670.0;No
15715541;113311.11;1;Yes;198193.75;850.0;No
15807568;0.0;2;No;57942.88;632.0;No
15768137;136100.69;2;No;169669.33;667.0;Yes
15636700;140236.98;1;No;146651.99;701.0;No
15779496;81564.1;2;No;35896.09;615.0;No
15706463;0.0;2;Yes;7156.09;597.0;No
15720662;106266.8;1;Yes;16607.15;787.0;No
15772996;152092.44;2;Yes;83508.93;594.0;No
15582849;0.0;1;Yes;22835.13;757.0;Yes
15574004;117307.44;2;Yes;24020.49;429.0;No
15814268;84350.07;1;Yes;143835.76;;No
15776844;0.0;2;Yes;55500.17;762.0;No
15610936;0.0;2;Yes;111590.35;562.0;No
15791958;0.0;2;Yes;169203.51;849.0;Yes
15664083;158468.76;1;No;93266.01;666.0;No
15716085;0.0;1;Yes;191694.77;739.0;Yes
15790442;0.0;2;Yes;158268.84;631.0;No
15684512;135290.42;2;Yes;63729.72;818.0;No
15796764;127585.98;3;Yes;80593.49;684.0;Yes
15684461;0.0;1;Yes;146213.75;469.0;Yes
15809178;146100.75;1;Yes;32574.01;;Yes
15707110;170890.05;2;Yes;41758.9;660.0;No
15578073;0.0;14;No;;;No
15569878;96651.03;1;Yes;3232.82;592.0;No
15631305;126833.79;2;Yes;60843.09;599.0;Yes
15673584;0.0;2;Yes;937.15;652.0;No
15603942;81290.02;3;No;177747.03;547.0;Yes
15654611;81732.88;2;Yes;136497.28;736.0;No
15782531;0.0;2;Yes;188637.05;684.0;No
15570859;181671.16;2;Yes;57531.14;626.0;No
15608595;157371.54;1;No;97734.3;748.0;No
15776156;121325.84;1;Yes;164223.7;521.0;Yes
15627385;84009.47;1;Yes;137001.1;748.0;No
15641794;;14;No;;;No
15673570;0.0;2;No;77108.66;580.0;No
15654222;145396.49;1;No;198341.15;757.0;No
15756848;0.0;1;No;79408.17;633.0;No
15583073;0.0;1;Yes;25222.6;771.0;Yes
15788930;132730.17;1;Yes;199293.01;761.0;No
15649024;132865.56;1;Yes;59636.43;748.0;Yes
15664772;79460.98;2;Yes;167973.63;489.0;No
15784092;126195.81;1;Yes;133172.48;732.0;No
15798844;128914.97;1;No;191746.23;678.0;Yes
15710543;130666.2;1;Yes;161125.67;629.0;Yes
15705739;159904.79;1;Yes;148811.14;753.0;No
15584505;113923.81;2;No;196241.43;580.0;No
15600911;182888.08;1;Yes;3061.0;712.0;No
15741417;119656.45;2;Yes;4595.05;624.0;No
15648030;137388.01;2;Yes;165000.68;731.0;No
15742442;89364.91;1;No;139162.15;;No
15574910;115625.07;1;Yes;185855.21;601.0;No
15612193;115545.33;2;Yes;148256.43;762.0;No
15662532;149085.9;2;Yes;197077.36;757.0;No
15574167;101286.11;1;Yes;159840.51;665.0;No
15681196;172170.36;1;Yes;159777.37;629.0;No
15666252;0.0;2;Yes;28714.34;706.0;No
15799357;136364.46;1;No;142754.71;727.0;No
15586752;152143.89;1;Yes;32174.03;628.0;No
15583850;126061.51;2;Yes;184936.77;672.0;No
15603088;0.0;2;No;48021.71;451.0;No
15576124;40488.76;1;Yes;128528.83;582.0;No
15760244;160979.68;1;No;13848.58;590.0;No
15777743;92224.56;1;Yes;54517.25;705.0;No
15712772;75381.15;1;Yes;199727.72;757.0;No
15670354;0.0;2;Yes;136398.9;753.0;No
15605673;0.0;2;No;78616.92;716.0;No
15702968;106545.53;1;Yes;134589.58;733.0;No
15719309;115961.58;2;No;29483.87;670.0;No
15728082;0.0;2;Yes;14665.28;601.0;No
15577274;134985.66;1;Yes;6101.41;549.0;No
15686963;0.0;1;Yes;160131.58;;No
15643188;114603.76;2;Yes;153194.32;671.0;Yes
15670602;107418.27;1;No;160450.21;790.0;No
15661936;141004.46;1;Yes;105028.46;513.0;No
15636423;0.0;1;Yes;141359.11;715.0;No
15624781;142151.75;2;Yes;168753.34;672.0;No
15739857;0.0;2;Yes;96832.82;;No
15632472;159397.75;1;No;57323.18;472.0;No
15649086;0.0;2;Yes;121568.37;596.0;No
15776233;125397.21;1;Yes;182184.09;758.0;Yes
15586504;0.0;2;Yes;40463.03;694.0;No
15593094;0.0;1;Yes;142680.64;516.0;Yes
15805463;105163.88;2;Yes;164170.46;;No
15760456;123711.73;2;Yes;171340.68;731.0;Yes
15754177;111061.01;2;No;26542.17;712.0;No
15727919;0.0;2;No;12048.67;671.0;No
15811389;171982.95;2;No;167313.07;724.0;No
15650322;105588.66;1;No;74694.41;701.0;No
15766272;125193.96;1;Yes;109356.53;521.0;No
15679991;0.0;2;No;147100.72;524.0;No
15586522;130461.02;1;Yes;21967.15;608.0;No
15572792;118989.92;1;Yes;135536.72;535.0;No
15646859;107363.29;1;Yes;66799.28;621.0;No
15671915;0.0;2;Yes;76946.6;649.0;No
15657468;123805.03;1;Yes;102428.51;711.0;No
15756167;134204.67;1;Yes;139971.01;762.0;No
15730759;135637.0;1;Yes;153080.4;561.0;Yes
15780989;145843.82;1;Yes;198402.37;579.0;Yes
15718057;100946.71;1;No;179614.8;760.0;Yes
15592773;108449.23;3;No;88372.69;630.0;Yes
15683544;0.0;1;Yes;65010.74;626.0;No
15747795;129499.42;1;Yes;154071.27;593.0;No
15670416;0.0;1;No;15705.27;780.0;No
15700749;0.0;13;Yes;;;No
15761102;132835.56;1;No;;;No
15791988;0.0;2;Yes;11426.7;670.0;No
15626806;0.0;2;Yes;40652.33;668.0;No
15645835;0.0;2;Yes;55724.24;605.0;No
15583138;141642.92;2;Yes;172149.76;739.0;No
15692406;0.0;2;Yes;121485.1;427.0;No
15653222;131938.92;2;Yes;1795.93;526.0;No
15640454;120711.73;1;No;27345.18;693.0;Yes
15804017;123246.7;1;No;112687.57;631.0;No
15790067;151914.93;1;No;56459.45;;No
15674541;123925.23;1;No;111342.66;575.0;Yes
15722072;138053.67;1;No;114110.97;630.0;No
15621611;155196.17;1;No;121207.66;742.0;Yes
15624793;184244.86;1;Yes;103099.22;627.0;No
15588456;143566.12;1;Yes;189607.71;658.0;No
15636812;112701.04;1;No;29213.63;583.0;No
15689152;126152.84;1;No;15378.75;683.0;No
15679810;0.0;2;Yes;160532.88;690.0;No
15775905;130024.87;1;Yes;45750.21;612.0;Yes
15745452;90218.11;1;Yes;174337.68;651.0;No
15685243;0.0;2;No;502.7;736.0;No
15800736;96763.89;1;Yes;199242.65;601.0;No
15799626;126345.55;1;No;17323.0;637.0;Yes
15793424;61274.7;2;Yes;136054.45;663.0;No
15666652;0.0;2;Yes;124297.32;781.0;No
15776433;0.0;2;Yes;186489.95;730.0;No
15692918;113546.3;1;Yes;134875.37;604.0;No
15698758;0.0;2;Yes;169802.73;630.0;No
15766066;124511.01;1;No;114258.18;668.0;No
15623196;149238.97;1;Yes;97825.23;686.0;No
15766906;132116.13;2;Yes;129933.5;742.0;No
15579109;163856.76;1;Yes;15118.2;574.0;No
15715208;138335.96;1;Yes;80483.76;804.0;No
15725024;105663.56;2;No;33330.89;805.0;No
15758639;0.0;2;Yes;75248.3;641.0;No
15687372;121537.71;2;Yes;46521.45;547.0;Yes
15812198;100900.5;1;No;33310.72;543.0;Yes
15654489;134887.53;1;Yes;10804.04;843.0;No
15599289;68598.56;1;Yes;157862.82;724.0;No
15642162;123407.69;1;Yes;152541.89;603.0;Yes
15596992;156353.46;1;Yes;72643.95;482.0;Yes
15617301;130809.77;1;Yes;152290.28;774.0;No
15615207;0.0;1;Yes;5557.88;792.0;Yes
15720284;135927.06;1;No;180890.4;607.0;No
15723827;114779.35;1;No;183171.47;;No
15614847;72494.69;1;No;140041.78;674.0;No
15649129;0.0;2;Yes;115950.96;757.0;No
15586848;0.0;2;Yes;122379.54;706.0;No
15638788;97514.07;1;Yes;199138.84;550.0;No
15710390;94631.26;2;Yes;148948.52;655.0;No
15681007;128548.49;4;Yes;75478.95;850.0;Yes
15794257;91562.99;1;Yes;123954.15;651.0;No
15688713;0.0;1;Yes;114469.55;627.0;No
15674206;0.0;2;Yes;92606.98;716.0;No
15773934;88294.6;1;Yes;66979.06;;No
15733966;125292.53;1;Yes;31532.96;496.0;Yes
15812365;102800.65;1;Yes;60811.56;850.0;No
15638963;174852.89;1;Yes;28149.06;678.0;No
15746199;0.0;1;Yes;143585.29;558.0;Yes
15707473;111962.99;1;Yes;111755.8;850.0;No
15770309;151762.74;1;No;127014.32;656.0;No
15720203;0.0;1;Yes;143274.41;577.0;No
15736126;98710.89;1;Yes;;;Yes
15566689;0.0;2;Yes;116747.62;554.0;No
15572361;164011.48;1;Yes;199420.41;790.0;No
15586174;116377.48;1;Yes;134417.31;700.0;No
15804950;0.0;2;Yes;3756.65;514.0;No
15618243;103960.38;1;Yes;193650.16;730.0;No
15679048;124227.14;1;Yes;111184.67;558.0;No
15774586;118588.83;1;Yes;161241.65;692.0;Yes
15611644;146329.73;1;No;43615.67;627.0;No
15704788;66079.45;2;No;91556.57;812.0;Yes
15674880;0.0;2;Yes;52137.73;658.0;No
15666453;78885.88;2;Yes;26927.69;611.0;No
15608968;86402.52;2;No;27330.59;714.0;No
15661723;137260.78;1;No;94433.08;667.0;Yes
15665760;0.0;2;No;57764.65;802.0;No
15595158;150593.59;2;Yes;105218.45;654.0;No
15723028;0.0;2;Yes;85439.73;778.0;No
15624975;145118.83;1;No;77742.38;693.0;No
15585067;108632.48;1;Yes;179485.96;634.0;Yes
15711750;0.0;2;Yes;175310.38;711.0;No
15703682;0.0;1;No;158336.36;681.0;No
15575498;149379.66;2;Yes;96075.55;;No
15676242;136556.44;1;Yes;82152.83;632.0;Yes
15734161;0.0;2;Yes;43128.95;636.0;No
15749265;75681.52;1;Yes;57098.0;427.0;No
15766887;122773.5;2;Yes;58467.08;538.0;No
15695475;130131.08;2;No;196474.35;645.0;No
15713594;147256.86;1;Yes;112771.95;543.0;No
15672447;99165.84;1;No;119333.95;657.0;Yes
15586993;0.0;2;Yes;41782.7;655.0;No
15608956;0.0;1;No;41590.4;711.0;No
15716328;0.0;2;No;141946.92;501.0;No
15684516;121151.05;1;No;119357.93;629.0;No
15658972;122038.34;1;Yes;102085.35;699.0;No
15587596;107553.33;1;Yes;117523.41;628.0;No
15771569;137367.94;1;Yes;33450.11;576.0;No
15609458;69413.44;1;Yes;74637.57;797.0;No
15793883;0.0;2;Yes;2305.27;798.0;No
15599024;0.0;2;No;182692.8;506.0;No
15780572;0.0;14;Yes;;;No
15571928;0.0;3;Yes;115136.51;679.0;Yes
15750755;0.0;2;No;156792.89;;No
15640034;139561.46;1;Yes;43435.43;551.0;Yes
15790322;114668.89;1;Yes;84605.0;660.0;No
15599090;108407.34;1;Yes;83681.2;564.0;No
15565701;161993.89;1;No;90212.38;698.0;No
15631721;163965.69;2;No;103511.26;691.0;No
15635893;0.0;2;Yes;158545.25;693.0;No
15812945;0.0;1;Yes;84012.81;582.0;No
15805449;0.0;2;No;186884.04;594.0;No
15780088;132439.99;1;Yes;177747.72;607.0;No
15571415;151802.29;1;Yes;46791.09;805.0;Yes
15735400;179960.2;1;Yes;89938.08;756.0;No
15655574;150777.1;1;Yes;114732.62;698.0;No
15732643;131955.07;1;Yes;62514.65;386.0;Yes
15759733;0.0;2;Yes;64716.08;774.0;No
15713608;0.0;2;Yes;34827.43;850.0;No
15570299;152622.34;1;Yes;99298.8;584.0;No
15730488;0.0;1;No;112311.15;516.0;No
15720745;140197.18;1;Yes;142935.83;635.0;No
15579112;0.0;2;Yes;186116.54;598.0;No
15722479;0.0;2;No;6035.51;707.0;No
15577313;116967.68;1;Yes;5075.17;619.0;Yes
15738907;96956.1;1;Yes;31907.44;798.0;Yes
15591747;0.0;2;No;129576.99;705.0;No
15685279;122950.31;1;Yes;181258.76;511.0;No
15765402;145644.05;1;No;104118.93;520.0;No
15694530;167268.98;1;Yes;169469.3;672.0;No
15587712;114435.47;1;Yes;26955.72;589.0;No
15664432;96296.78;1;Yes;190457.87;727.0;Yes
15671655;143966.3;2;Yes;140262.96;763.0;Yes
15713379;0.0;2;Yes;197594.34;669.0;No
15747208;0.0;1;Yes;93568.77;608.0;Yes
15793478;151391.68;1;Yes;27274.6;593.0;Yes
15601383;120654.68;1;Yes;82290.81;744.0;No
15709523;157989.21;2;Yes;100687.67;525.0;No
15772262;110483.86;1;Yes;127394.67;545.0;No
15651103;183744.98;1;Yes;196993.69;762.0;No
15776936;160818.08;1;No;169642.13;475.0;Yes
15704681;99660.13;2;No;147700.78;766.0;No
15734311;0.0;2;Yes;76889.79;661.0;No
15669899;135643.0;1;No;143619.52;755.0;Yes
15718673;75592.43;1;Yes;62674.42;839.0;No
15648800;132312.06;1;Yes;106663.46;731.0;Yes
15599869;0.0;1;Yes;83056.22;728.0;No
15632793;103417.74;1;Yes;15336.4;638.0;No
15579891;100755.66;1;Yes;186775.25;714.0;No
15757865;0.0;2;Yes;61120.75;642.0;No
15590606;0.0;2;Yes;5967.09;595.0;No
15749964;87262.4;2;Yes;182720.07;;No
15789753;148790.61;1;No;79329.7;;No
15641733;164757.56;1;Yes;110748.88;671.0;No
15737509;199229.14;1;No;68106.29;850.0;No
15575623;110635.32;1;Yes;148218.86;589.0;No
15620443;0.0;2;Yes;72276.24;711.0;No
15569452;116353.2;2;No;193502.9;652.0;No
15588854;110581.29;1;Yes;94715.24;715.0;No
15771942;135555.66;1;Yes;133146.03;528.0;Yes
15707199;148159.71;1;No;55835.66;643.0;No
15721047;135650.88;1;Yes;199428.19;578.0;No
15685536;0.0;2;Yes;1351.41;552.0;No
15634891;102365.49;1;Yes;194690.77;504.0;Yes
15682541;132311.71;1;No;15462.84;616.0;No
15735346;136733.24;13;Yes;;;No
15614215;0.0;2;No;97614.87;717.0;No
15783029;106603.74;2;Yes;26387.71;671.0;No
15807120;112383.03;1;Yes;85516.37;841.0;Yes
15569917;87609.68;2;No;137674.55;706.0;Yes
15616454;111905.43;1;No;197221.81;476.0;Yes
15583736;81795.74;2;Yes;90106.94;829.0;No
15665460;0.0;2;Yes;177783.04;732.0;No
15632324;0.0;2;Yes;162347.05;602.0;No
15652289;0.0;2;Yes;197528.62;694.0;No
15755241;0.0;1;No;144045.08;714.0;Yes
15804516;0.0;1;Yes;79915.28;589.0;No
15779267;0.0;2;Yes;89286.29;584.0;No
15699515;98630.31;2;Yes;40250.82;643.0;No
15694366;177640.09;1;No;47166.55;714.0;No
15638513;142856.95;2;No;38019.74;723.0;No
15679961;68799.72;1;Yes;39704.14;708.0;No
15789874;87375.78;2;No;166194.53;712.0;No
15770101;112088.04;2;Yes;36706.56;766.0;No
15750335;108508.82;15;Yes;;;Yes
15779947;146098.43;3;Yes;100615.14;363.0;Yes
15591130;0.0;2;No;94780.9;507.0;No
15792649;0.0;2;No;99294.22;547.0;No
15682421;0.0;2;No;100496.84;683.0;Yes
15653595;0.0;2;No;194733.28;796.0;No
15599829;0.0;2;Yes;25161.61;577.0;No
15783541;0.0;2;No;194660.78;755.0;No
15784124;93925.3;1;Yes;123982.14;645.0;Yes
15670702;168178.21;2;No;101273.23;618.0;No
15739997;94464.81;2;No;185900.88;716.0;No
15604304;91622.42;13;Yes;;;No
15742297;141005.47;1;Yes;60407.93;715.0;No
15780925;177069.24;2;Yes;96088.54;625.0;No
15785326;136526.26;2;Yes;59653.03;639.0;No
15630551;163139.27;1;Yes;7035.36;696.0;No
15767681;0.0;2;No;89013.67;470.0;No
15725511;127070.73;1;No;160941.78;559.0;No
15669410;110829.52;2;No;24938.84;683.0;No
15625632;121092.47;2;No;143783.46;577.0;No
15742824;162318.61;1;Yes;121061.89;696.0;No
15773071;145580.61;1;Yes;154598.56;780.0;No
15714355;121669.23;1;No;125898.39;775.0;No
15591577;146311.58;1;Yes;105443.47;584.0;No
15593773;0.0;2;No;81483.64;784.0;No
15720354;0.0;2;Yes;197562.08;581.0;No
15766683;139422.37;1;No;83983.39;549.0;Yes
15790336;71142.77;2;Yes;122433.09;664.0;No
15640078;135134.99;1;Yes;173683.0;660.0;Yes
15630698;110123.59;1;No;51548.14;745.0;Yes
15796496;137687.72;1;Yes;190067.12;631.0;No
15796114;141525.55;1;No;9443.15;594.0;No
15765461;0.0;2;Yes;178822.32;632.0;No
15784218;0.0;2;Yes;38015.34;620.0;No
15577107;0.0;3;No;168412.07;657.0;Yes
15718773;0.0;2;Yes;160129.99;638.0;No
15757310;148363.38;1;Yes;186995.17;655.0;No
15581115;76769.68;1;No;48224.72;603.0;No
15739292;103837.75;1;Yes;150218.11;609.0;No
15693817;0.0;2;Yes;48382.4;539.0;No
15650288;116269.01;1;Yes;129964.94;634.0;No
15626143;0.0;2;Yes;99692.65;695.0;No
15609475;98544.11;1;Yes;52327.57;604.0;No
15804771;40685.92;1;Yes;46775.28;614.0;No
15681924;129728.6;1;Yes;89289.54;747.0;No
15631871;116936.81;1;Yes;104379.36;;No
15635197;90402.77;1;Yes;3298.65;640.0;No
15779174;0.0;2;Yes;180142.42;451.0;No
15776128;155114.9;1;No;133871.83;716.0;No
15606274;63176.44;2;Yes;14466.08;594.0;No
15645059;0.0;2;No;105159.89;711.0;No
15595917;102097.33;1;No;168285.85;580.0;No
15663252;0.0;2;Yes;18924.92;850.0;No
15678374;0.0;2;Yes;185123.09;666.0;No
15576990;152885.77;1;Yes;58214.79;790.0;No
15780835;131908.35;1;Yes;179269.79;652.0;No
15706021;96645.54;2;No;171413.66;665.0;No
15609176;0.0;2;No;177607.77;688.0;No
15665695;0.0;2;Yes;23631.55;594.0;No
15629187;85982.07;1;Yes;9238.35;535.0;No
15591135;132057.92;2;Yes;34743.98;726.0;No
15725509;115286.68;2;Yes;149587.92;662.0;No
15793585;0.0;2;Yes;56642.97;675.0;No
15624729;197041.8;1;No;151912.49;594.0;No
15704168;127475.24;1;No;60775.76;535.0;Yes
15620398;98683.47;2;Yes;15733.19;635.0;No
15613337;0.0;2;Yes;182247.77;833.0;No
15684469;117070.21;1;Yes;113482.2;841.0;No
15784918;121968.11;2;No;188343.05;498.0;No
15630920;154485.74;2;No;78560.64;724.0;No
15609758;158621.04;1;Yes;120892.96;537.0;Yes
15718780;79450.09;1;Yes;118324.75;650.0;No
15787529;0.0;1;Yes;65986.48;592.0;Yes
15656263;0.0;2;Yes;65868.28;764.0;No
15806570;0.0;1;Yes;77203.72;763.0;Yes
15592736;102994.04;1;Yes;176680.16;551.0;Yes
15710825;110071.1;1;No;43921.36;592.0;No
15641389;123593.22;2;Yes;82469.06;659.0;Yes
15726631;127357.76;1;No;56577.0;758.0;No
15676404;0.0;1;Yes;12106.82;672.0;Yes
15732672;79388.33;1;Yes;193360.69;743.0;No
15689492;176958.46;2;No;125806.3;850.0;No
15707696;0.0;2;Yes;22356.97;471.0;No
15620577;0.0;2;Yes;55043.93;715.0;No
15809279;96877.21;1;Yes;113950.51;773.0;No
15633650;146720.98;2;Yes;4195.84;677.0;No
15694644;0.0;1;Yes;81250.79;455.0;No
